X,Y,OBJECTID,NAME,SCHOOL_NAME,SCHOOL_STREET_ADDRESS,SCHOOL_CITY,SCHOOL_STATE,SCHOOL_ZIP_CODE,SCHOOL_COUNTY,PUBLIC_SCHOOL_DISTRICT,BUILDING_CODE,FOR_PROFIT_OR_NON_PROFIT,HEAD_OF_SCHOOL
-122.358244654338,47.5185604117671,1,Hope Academy ,Hope Academy ,9421 18th Ave SW,Seattle,WA,98106,King ,Seattle Public Schools,,Non-profit,Asia Adam
-122.307926384761,47.6344224254426,2,Seattle Hebrew Academy,Seattle Hebrew Academy,1617 Interlaken Dr E,Seattle,WA,98112,King,Seattle Public Schools,8057,Non-profit,Rivy Poupko Kletenik
-122.305956234211,47.6032013451506,3,Seattle Classical Christian School,Seattle Classical Christian School,172 20th Ave,Seattle,WA,98122,King,Seattle Public Schools,,Non-profit,Luke Davis
-122.327843277321,47.7314306295733,4,Lakeside School (Middle),Lakeside School (Middle),14050 1st Avenue NE,Seattle,WA,98125,King,Seattle Public Schools,,Non-profit,Bernie Noe
-122.288792877504,47.622907283369,5,The Bush School,The Bush School,3400 E Harrison Street,Seattle,WA,98112,King,Seattle Public Schools,8037,Non-profit,Percy L Abram
-122.31806523479,47.6942198582917,6,The Perkins School,The Perkins School,9005 Roosevelt Way NE,Seattle,WA,98115,King,Seattle Public Schools,8251,Non-profit,Barry Wright
-122.320722244752,47.6323875975501,7,Bright Water Waldorf School,Bright Water Waldorf School,1501 10th Ave E,Seattle,WA,98102,King,Seattle Public Schools,1422,Non-profit,Chaya Keefe
-122.316436914021,47.6413216155307,8,Seattle Preparatory School,Seattle Preparatory School,2400 11th Ave E,Seattle,WA,98102,King,Seattle Public Schools,8059,Non-profit,Erin Luby
-122.322821659168,47.6195094549889,9,International Montessori Academy - Capitol Hill,International Montessori Academy - Capitol Hill,1715 E Olive Way,Seattle,WA,98102,King County,Seattle Public Schools,,For profit,Brittney Gerry
-122.369329621921,47.5132016529484,10,Explorer West Middle School,Explorer West Middle School,10015 28th Ave SW,Seattle,WA,98146,King,Highline School District,8189,Non-profit,Barbara Frailey
