Name,Dominant Discipline,Alcohol Sales,Location,loacation,Address
Bootstrap Music,Studios,,,,
Chinese Information and Service Center,Community Center,,47.596665,-122.325649,611 S Lane St Seattle WA 98104
Gallery AXIS,,,47.599804,-122.333995,308 1st Ave S
Interstitial,Visual,,47.548885,-122.317596,6007 12th Ave South 3rd Floor Seattle, WA 98108
Miller School of Art,Visual,N,47.5480284,-122.3164558,1226 S Bailey St Seattle WA 98108
Martyr Sauce,,,47.599347,-122.333666,102 S Jackson St
METHOD Gallery,Visual,N,,,106 3rd Ave S
Planet Art,Visual,N,47.69657535,-122.3933821,2811 NW 93rd St Seattle WA 98117
Paper Source Queen Anne,Service/Supply,,47.636174,-122.356958,1908 Queen Anne Ave N Seattle WA 98109
Phinney Books,Literary,,47.682785,-122.355621,7405 Greenwood Ave. N Seattle WA 98103
Swedish Hospital Art Collection,Visual,,47.6089681,-122.3221023,747 Broadway Seattle WA 98122
Traver Gallery,Visual,Y,47.6080964,-122.3388114,110 Union St #200 Seattle WA 98101
University of Washington Suzzallo Library,Education,,47.6722229,-122.3118912,4000 15th Avenue NE Seattle WA 98105
Vocalist Studio,Arts/Cultural Training or Education,,,,
Seattle Center-SIFF Film Center and Cinema at the Uptown,Cinema,N,47.62056855,-122.350491,305 Harrison St Seattle WA 98109
Avast Recording Co,Music,N,47.6867128,-122.3636508,601 NW 80th St Seattle WA 98117
The Hillman City Collaboratory,Visual,Y,47.551691,-122.278043,5623 Rainier Ave S Seattle WA 98118
Seattle Center Cornish Playhouse,Arts/Cultural Training or Education,Y,47.6237608,-122.352406,201 Mercer St Seattle WA 98109
Image Journal,Visual,N,47.649069,-122.36089,3307 3rd Ave W Seattle WA 98119
Capitol Club,Music,,47.6153941,-122.3260485,414 E Pine St Seattle WA 98122
Stone Way Cafe,Music,,47.649878,-122.342711,3510 Stone Way N Seattle WA 98103
Bill Matthews' Conga Joy,Arts/Cultural Training or Education,,47.66909,-122.385796,2220 NW Market St Seattle WA 98107
Mossy Bottom Records,Music,,47.66629,-122.314484,5049 Brooklyn Ave Seattle WA 98105
Highway 99 Blues Club,Music,Y,47.6017992,-122.3366083,1414 Alaskan Way Seattle WA 98101
Vito's,Music,Y,47.607943,-122.326933,927 9th Ave Seattle, WA 98104
Haller Lake Community Club,Community Center,,47.721672,-122.338554,12579 Densmore Ave N Seattle WA 98133
Seattle Center ArtsED WA in Seattle Center Pavillion,Arts/Cultural Training or Education,N,47.621106,-122.3537817,158 Thomas St Seattle WA 98109
Eritrean Association in Greater Seattle,Community Center,,47.58879805,-122.3070771,1528 Valentine Pl S Seattle WA 98144
Urban Artworks in Inscape,Arts/Cultural Training or Education,N,47.59511695,-122.3270859,815 Seattle Blvd S B7 Seattle WA 98134
OK Hotel Art Gallery,,,47.60038,-122.33515,212 Alaskan Way S
El Corazon,Music,Y,47.618798,-122.3293302,109 Eastlake Ave E Seattle WA 98109
XYZ Gallery,,,47.601111,-122.329963,300 S Washington St
Zanadu Comics,Literary,N,47.6688694,-122.3126674,1923 3rd Ave Seattle WA 98101-1104
10 Degrees,Multi-use,Y,47.612905,-122.31477,1312 E Union St
Sunset Tavern,Music,Y,47.6682756,-122.3860837,5433 Ballard Ave NW Seattle WA 98107
Seattle Pottery Supply,Service/Supply,,47.5749176,-122.3376252,35 S Hanford St Seattle WA 98134
Bass Northwest,Music,N,47.622562,-122.321701,119 Yesler Way Seattle WA 98104
Museum of Flight,Heritage,Y,47.51842745,-122.2976981,9404 East Marginal Way S Seattle WA 98108
Hollow Earth Radio,Music,N,47.6129184,-122.316028,2018 A E. Union St Seattle WA 98122
L x W x H,Visual,N,47.5488654,-122.3174654,6007 12th Ave S Seattle WA 98108
Columbia City Theater,Multi-use,Y,47.557316,-122.284462,4916 Rainier Ave S
Ophelia's Books,Literary,N,47.6506373,-122.3496713,3504 Fremont Ave N Seattle WA 98103
Rainier Glass Studio,Arts/Cultural Training or Education,,47.5756053,-122.3206151,3200 Airport Way S Seattle WA 98134
Stonington Gallery,Visual,,47.5989184,-122.3331591,125 S Jackson St Seattle WA 98104
Bop Street Records,Music,,47.66909,-122.385796,2220 NW Market St Seattle WA 98107
Seattle Public Library Main,Literary,Y,47.6040236,-122.3309956,1000 4th Ave Seattle WA 98104
South Park Neighborhood and Senior Center,Community Center,,47.529579,-122.320518,8201 10th Ave S Seattle WA 98108
Dynamic Sound Service,Studios,,,,
Fremont Abbey Arts Center,Performance,Y,47.6591931,-122.3498604,4272 Fremont Ave N Seattle WA 98103
Ghost Gallery,Visual,N,47.6186813,-122.3249251,504 E Denny Way Seattle WA 98122
Spin Cycle,Music,,47.621666,-122.321304,321 Broadway Ave East Seattle WA 98102
57 Biscayne,Visual,N,47.602902,-122.333954,110 Cherry St #200 Seattle WA 98104
University of Washington Gallagher Law Library,Education,N,47.656206,-122.312972,University of Washington Box 353025 Seattle, WA 98195
Broadway Bound Children's Theatre,Performance,N,47.6656768,-122.3136491,5031 University Way NE Seattle WA 98105
Equinox Studios,Studios,,47.544634,-122.328371,6555 5th Ave S Seattle WA 98108
Jazz Night School,Arts/Cultural Training or Education,N,47.5440673,-122.2824356,3916 S Morgan St
University of Washington Intellectual House,Arts/Cultural Training or Education,,47.6581986,-122.3042543,4249 Whitman Court (E Stevens Way and Whitman Court NE)
Magnuson Community Center,Community Center,,47.680642,-122.26227,7110 62nd Ave NE Seattle WA 98115
NW Work Lofts,Live/Work,,47.618248,-122.35743,3131 Western Ave #419 Seattle WA 98121
Seattle JazzED at MLK Fame Community Center,Music,N,47.62294115,-122.2907778,3201 E. Republican St Seattle WA 98112
Nortthwest Film Forum,Cinema,Y,47.6144138,-122.317071,1515 12th Ave Seattle WA 98122
School of Rock,Music,N,47.690653,-122.357728,106 N 85th Seattle WA 98103
Foster/White Gallery,Visual,N,47.6002759,-122.3299406,220 3rd Ave S Seattle WA 98104
Seattle Public Library Greenwood,Literary,Y,47.68714104,-122.3551792,8016 Greenwood Ave N Seattle WA 98103
DASSdance Seattle,Performance,,47.616283,-122.297218,1630 27th Avenue Seattle WA 98122
Roaring Mouse Creative Arts Studio,Arts/Cultural Training or Education,,47.6839218,-122.3064199,7526 20th Ave NE Seattle WA 98115
University Heights Center,Performance, Visual Art, Cinema, Music, Arts/Cultural Advocacy,Y,47.665899,-122.313584,5031 University Way NE
911 Media Arts Center,Arts/Cultural Training or Education,,47.6593651,-122.3180274,909 NE 43rd St #206 Seattle WA 98105
Jo Ann Fabrics and Crafts Aurora,Service/Supply,,47.739364,-122.345273,15236 Aurora Ave N Seattle WA 98133
Jive Time,Music,,47.65066,-122.34989,3506 Fremont Ave N Seattle WA 98103
Artist Trust,Arts/Cultural Administration or Advocacy,N,47.6185686,-122.3172487,1835 12th Ave Seattle WA 98122
Pilchuck Glass School Seattle,Arts/Cultural Training or Education,Y,47.60051,-122.331586,240 2nd Ave S. Suite 100 Seattle WA 98104
Cassandria Blackmore Studio,Visual,,47.6139358,-122.3174302,1115 East Pike St Seattle WA 98122
New York Fashion Academy,Arts/Cultural Training or Education,N,47.66541915,-122.3824426,5201 Ballard Ave NW Seattle WA 98107
The Chapel Performance Space at Good Shepherd Center,Music,N,47.6640977,-122.3310449,4649 Sunnyside Ave N 4th floor Seattle WA 98103
SIFF Cinema Uptown (see SIFF for answers to survey),Cinema,,47.623616,-122.356725,511 Queen Anne Ave N Seattle WA 98109
Mockingbird Books,Literary,,47.681091,-122.324814,7220 Woodlawn Ave NE Seattle WA 98115
The Lofts at 325,Live/Work,,47.621704,-122.33886,325 Westlake Ave N Seattle WA 98109
Seattle Sound Repair,Service/Supply,,47.65708,-122.342359,4112 Stone Way N Seattle WA 98103
St. Clouds,Music,,47.612602,-122.289642,1131 34th Ave Seattle WA 98122
Wa Na Wari,Visual,N,47.610411,-122.302087,911 24th Ave Seattle WA 98122
Heartland (CLOSED),Music,,47.66739015,-122.3170984,5306 Roosevelt Way NE Seattle WA 98105
Patricia Rovzar Gallery,Visual,N,47.6069251,-122.3372059,1225 2nd Ave Seattle WA 98101
Winston Wachter Fine Art,Visual,N,47.61989555,-122.3427626,203 Dexter Ave N Seattle WA 98109
Seattle Public Library Broadview,Literary,Y,47.7230197,-122.3562457,12755 Greenwood Ave N Seattle WA 98133
The Trading Musician,Service/Supply,,47.67173,-122.317154,5908 Roosevelt Way NE Seattle WA 98105
Comics Journal / Fantagraphics Books,Literary,,47.684772,-122.315903,7563 Lake City Way NE Seattle WA 98115
Krab Jab Studio,Visual,N,47.5515231,-122.3186879,5628 Airport Way South Ste 246 Seattle WA 98108
Van Asselt Community Center,Community Center,,47.539444,-122.294067,2820 S Myrtle St Seattle WA 98108
