zipcode,AvgRentalPriceOneBedroom
98101,3535
98102,2320
98103,2144
98104,2383
98105,1930
98106,0
98107,2275
98108,0
98109,2671
98110,0
98111,0
98112,2320
98113,0
98114,1872
98115,0
98116,2017
98117,0
98118,1909
98119,2375
98120,0
98121,2742
98122,2642
98123,0
98124,0
98125,0
98126,1859
98127,0
98128,0
98129,0
98130,0
98131,0
98132,0
98133,0
98134,0
98135,0
98136,0
98137,0
98138,0
98139,0
98140,0
98141,0
98142,0
98143,0
98144,2236
98145,0
98146,0
98147,0
98148,0
98149,0
98150,0
98151,0
98152,0
98153,0
98154,0
98155,0
98156,0
98157,0
98158,0
98159,0
98160,0
98161,0
98162,0
98163,0
98164,0
98165,0
98166,0
98167,0
98168,0
98169,0
98170,0
98171,0
98172,0
98173,0
98174,0
98175,0
98176,0
98177,0
98178,0
98179,0
98180,0
98181,2320
98182,0
98183,0
98184,0
98185,0
98186,0
98187,0
98188,0
98189,0
98190,0
98191,0
98192,0
98193,0
98194,0
98195,0
98196,0
98197,0
98198,0
98199,0
00000,0
